date,price,7_day_avg,monthly_change
2023-04-30 00:00:00,29217.944046809913,28551.86919259075,0.04196768308318144
2023-05-01 00:00:00,29362.056213625394,28802.651744872503,0.02964119173844848
2023-05-02 00:00:00,28125.501155636823,28890.34681251186,-0.013103765147104318
2023-05-03 00:00:00,28654.390133326717,28933.657081790963,0.01479932941605644
2023-05-04 00:00:00,28988.320996249273,29024.532749741335,0.042167049413520896
2023-05-05 00:00:00,28846.461458608057,28933.524143115075,0.023819813873758422
2023-05-06 00:00:00,29520.322268970496,28959.285181889525,0.046923875835628515
2023-05-07 00:00:00,28887.741045523366,28912.113324562877,0.030123672912846677
2023-05-08 00:00:00,28611.439197614574,28804.882322275615,0.024235335161906235
2023-05-09 00:00:00,27696.76078562556,28743.63369798829,-0.009702732373543133
2023-05-10 00:00:00,27607.39168091902,28594.062490501477,-0.026236785121313888
2023-05-11 00:00:00,27639.73356593586,28401.40714331385,-0.06805052029593717
2023-05-12 00:00:00,27024.76572929978,28141.164896269805,-0.1069421768186044
2023-05-13 00:00:00,26787.69039591833,27750.788914405213,-0.10421461492722894
2023-05-14 00:00:00,26798.126271474703,27452.27251811255,-0.1186284427309241
2023-05-15 00:00:00,26911.805273213893,27209.46767176959,-0.11673085596058463
2023-05-16 00:00:00,27227.793422558792,27142.472334188624,-0.1017534964792528
2023-05-17 00:00:00,27022.713173921147,27058.94683318893,-0.10830276150948492
2023-05-18 00:00:00,27389.971511442203,27023.266539689834,-0.07050109951300432
2023-05-19 00:00:00,26842.95249471792,26997.293220463853,-0.11601668942198762
2023-05-20 00:00:00,26884.371059589947,27011.104743845517,-0.06759032152927857
2023-05-21 00:00:00,27093.79110149735,27053.34257670589,-0.041117089763410886
2023-05-22 00:00:00,26773.83024366478,27033.631858198878,-0.019279262107287587
2023-05-23 00:00:00,26869.686021790778,26982.47365808916,-0.03560287973228049
2023-05-24 00:00:00,27222.937746603853,27011.077168472402,-0.01389670955299338
2023-05-25 00:00:00,26338.948946998687,26860.931087837613,-0.04262511864836149
2023-05-26 00:00:00,26475.607902534273,26808.45328895424,-0.06615625224310662
